    ,Issue key  ,Status   ,Resolution       ,Created         ,Fix Versions Combined                       ,Affects Versions Combined
  0 ,HIVE-22412 ,Closed   ,Fixed            ,28/Oct/19 09:42 ,4.0.0-alpha-1                               ,"1.2.1, 2.0.0, 3.0.0"
  1 ,HIVE-22196 ,Resolved ,Fixed            ,11/Sep/19 17:30 ,                                            ,"1.2.1, 2.0.0, 3.1.2"
  2 ,HIVE-21157 ,Resolved ,Won't Fix        ,24/Jan/19 01:22 ,                                            ,2.0.0
  3 ,HIVE-21033 ,Closed   ,Fixed            ,12/Dec/18 13:05 ,4.0.0-alpha-1                               ,"2.0.0, 3.0.0"
  4 ,HIVE-20345 ,Closed   ,Fixed            ,09/Aug/18 01:36 ,4.0.0-alpha-1                               ,"1.3.0, 2.0.0"
  5 ,HIVE-18742 ,Closed   ,Fixed            ,17/Feb/18 01:30 ,3.0.0                                       ,2.0.0
  6 ,HIVE-18735 ,Closed   ,Fixed            ,16/Feb/18 20:45 ,4.0.0-alpha-1                               ,2.0.0
  7 ,HIVE-18624 ,Closed   ,Fixed            ,05/Feb/18 16:45 ,"2.4.0, 3.1.2, 3.2.0, 4.0.0-alpha-1"        ,"2.0.0, 2.3.2, 3.0.0"
  8 ,HIVE-18250 ,Closed   ,Fixed            ,07/Dec/17 23:31 ,3.0.0                                       ,"2.0.0, 2.1.0, 2.2.0, 2.3.0"
  9 ,HIVE-18090 ,Closed   ,Fixed            ,17/Nov/17 08:18 ,3.0.0                                       ,"1.3.0, 2.0.0"
 10 ,HIVE-17368 ,Closed   ,Fixed            ,22/Aug/17 01:27 ,"2.4.0, 3.0.0"                              ,"1.1.0, 2.0.0, 2.1.0, 2.2.0"
 11 ,HIVE-17126 ,Resolved ,Not A Problem    ,19/Jul/17 16:23 ,                                            ,"1.1.0, 1.2.0, 2.0.0"
 12 ,HIVE-16769 ,Closed   ,Fixed            ,26/May/17 14:10 ,3.0.0                                       ,2.0.0
 13 ,HIVE-16654 ,Closed   ,Fixed            ,11/May/17 20:41 ,3.0.0                                       ,2.0.0
 14 ,HIVE-16507 ,Closed   ,Fixed            ,21/Apr/17 22:10 ,3.0.0                                       ,"2.0.0, 2.2.0, 2.3.0"
 15 ,HIVE-16450 ,Closed   ,Fixed            ,14/Apr/17 13:59 ,3.0.0                                       ,2.0.0
 16 ,HIVE-16385 ,Closed   ,Fixed            ,05/Apr/17 18:06 ,"2.3.0, 3.0.0"                              ,"2.0.0, 2.1.0"
 17 ,HIVE-15769 ,Closed   ,Fixed            ,31/Jan/17 17:55 ,2.2.0                                       ,"2.0.0, 2.1.0"
 18 ,HIVE-15766 ,Resolved ,Fixed            ,31/Jan/17 11:56 ,2.3.0                                       ,"2.0.0, 2.1.1"
 19 ,HIVE-15756 ,Resolved ,Not A Bug        ,30/Jan/17 21:01 ,                                            ,2.0.0
 20 ,HIVE-15752 ,Closed   ,Fixed            ,30/Jan/17 17:46 ,2.2.0                                       ,"1.2.0, 1.2.1, 2.0.0, 2.1.0, 2.1.1"
 21 ,HIVE-15517 ,Closed   ,Fixed            ,27/Dec/16 11:26 ,2.2.0                                       ,"1.2.1, 2.0.0, 2.1.0"
 22 ,HIVE-15329 ,Resolved ,Fixed            ,01/Dec/16 14:52 ,2.3.0                                       ,"2.0.0, 2.1.0"
 23 ,HIVE-15311 ,Closed   ,Fixed            ,29/Nov/16 23:52 ,2.2.0                                       ,"1.2.0, 2.0.0, 2.1.0"
 24 ,HIVE-15297 ,Closed   ,Fixed            ,28/Nov/16 21:44 ,2.2.0                                       ,"2.0.0, 2.1.0"
 25 ,HIVE-15247 ,Resolved ,Fixed            ,18/Nov/16 23:37 ,2.3.0                                       ,"1.2.1, 2.0.0, 2.1.0"
 26 ,HIVE-15234 ,Closed   ,Fixed            ,17/Nov/16 20:03 ,2.2.0                                       ,"2.0.0, 2.1.0"
 27 ,HIVE-15160 ,Closed   ,Fixed            ,08/Nov/16 18:42 ,3.0.0                                       ,"2.0.0, 2.1.0, 2.2.0, 2.3.0"
 28 ,HIVE-15110 ,Resolved ,Duplicate        ,02/Nov/16 04:50 ,                                            ,"2.0.0, 2.1.0"
 29 ,HIVE-15096 ,Resolved ,Fixed            ,29/Oct/16 03:00 ,2.3.0                                       ,"2.0.0, 2.0.1, 2.1.0"
 30 ,HIVE-15054 ,Resolved ,Fixed            ,25/Oct/16 15:53 ,2.3.0                                       ,2.0.0
 31 ,HIVE-14742 ,Resolved ,Duplicate        ,13/Sep/16 13:52 ,                                            ,2.0.0
 32 ,HIVE-14620 ,Resolved ,Invalid          ,24/Aug/16 19:05 ,                                            ,"2.0.0, 2.1.0"
 33 ,HIVE-14393 ,Closed   ,Fixed            ,31/Jul/16 00:41 ,"2.1.1, 2.2.0"                              ,"2.0.0, 2.1.0"
 34 ,HIVE-14367 ,Closed   ,Fixed            ,28/Jul/16 02:20 ,2.2.0                                       ,"2.0.0, 2.1.0"
 35 ,HIVE-14342 ,Closed   ,Fixed            ,26/Jul/16 18:16 ,"2.1.1, 2.2.0"                              ,2.0.0
 36 ,HIVE-14324 ,Closed   ,Fixed            ,25/Jul/16 08:23 ,"2.1.1, 2.2.0"                              ,"1.3.0, 2.0.0, 2.1.0, 2.2.0"
 37 ,HIVE-14322 ,Closed   ,Fixed            ,24/Jul/16 06:42 ,"2.0.2, 2.1.1, 2.2.0"                       ,"2.0.0, 2.0.1, 2.1.0"
 38 ,HIVE-14296 ,Closed   ,Fixed            ,20/Jul/16 19:22 ,"2.1.1, 2.2.0"                              ,2.0.0
 39 ,HIVE-14251 ,Closed   ,Fixed            ,15/Jul/16 18:25 ,2.2.0                                       ,2.0.0
 40 ,HIVE-14241 ,Closed   ,Fixed            ,14/Jul/16 20:04 ,"1.3.0, 2.1.1, 2.2.0"                       ,"1.3.0, 2.0.0"
 41 ,HIVE-14236 ,Closed   ,Fixed            ,14/Jul/16 04:42 ,"2.1.1, 2.2.0"                              ,"2.0.0, 2.1.0"
 42 ,HIVE-14229 ,Closed   ,Fixed            ,13/Jul/16 20:03 ,2.2.0                                       ,2.0.0
 43 ,HIVE-14210 ,Closed   ,Fixed            ,11/Jul/16 23:58 ,"1.2.2, 1.3.0, 2.1.1, 2.2.0"                ,"1.2.1, 2.0.0, 2.1.0"
 44 ,HIVE-14153 ,Closed   ,Fixed            ,01/Jul/16 23:51 ,"1.3.0, 2.1.1, 2.2.0"                       ,"1.2.1, 2.0.0, 2.0.1, 2.1.0"
 45 ,HIVE-14133 ,Resolved ,Duplicate        ,29/Jun/16 22:50 ,                                            ,"2.0.0, 2.1.0"
 46 ,HIVE-14132 ,Closed   ,Fixed            ,29/Jun/16 22:48 ,"2.1.1, 2.2.0"                              ,"2.0.0, 2.1.0"
 47 ,HIVE-14038 ,Closed   ,Fixed            ,16/Jun/16 18:45 ,"1.3.0, 2.1.1, 2.2.0"                       ,2.0.0
 48 ,HIVE-14015 ,Closed   ,Fixed            ,14/Jun/16 23:47 ,"2.1.0, 2.2.0"                              ,"1.1.0, 2.0.0"
 49 ,HIVE-14006 ,Closed   ,Fixed            ,13/Jun/16 20:32 ,2.1.0                                       ,2.0.0
 50 ,HIVE-13989 ,Resolved ,Fixed            ,10/Jun/16 00:47 ,"2.2.1, 2.3.0"                              ,"1.2.1, 2.0.0"
 51 ,HIVE-13932 ,Closed   ,Fixed            ,02/Jun/16 21:45 ,"1.3.0, 2.1.1, 2.2.0"                       ,"1.0.0, 2.0.0"
