Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTBuilder.java",13,0,12,0,4,,,,,1,14,0,18,,18,4,1,18,,18,0,0,0,,300,30,245,59,173,25,,122,151,55,110,,42,,2,,,"0,10",65,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTConverter.java",17,1,14,2,3,,,,,7,2,2,34,,34,32,24,34,,9,8,2,15,,733,98,555,219,329,80,,294,432,220,279,,14,,4,,,"0,14",117,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTNode.java",10,1,8,1,2,,,,,1,0,1,26,,26,26,7,26,,0,8,0,18,,350,53,240,75,133,57,,123,178,67,129,,11,,4,,,"0,24",58,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ATSHook.java",15,1,14,2,1,,,,,7,0,6,15,,7,15,13,15,,3,0,0,12,,227,27,178,68,118,37,,109,128,62,89,,8,,2,,,"0,21",19,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractFileMergeOperator.java",20,1,16,4,3,,,,,1,0,2,10,,10,10,16,10,,0,2,4,4,,279,21,195,66,115,63,,105,137,59,91,,8,,5,,,"0,32",30,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractHiveAuthorizer.java",8,0,4,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,41,4,7,4,1,30,,2,4,3,1,,1,,0,,,"4,29",1,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractMapJoinOperator.java",9,1,8,0,1,,,,,1,0,1,7,,7,7,5,7,,0,0,3,4,,120,20,75,40,33,26,,42,54,33,25,,3,,1,,,"0,35",10,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractMapJoinTableContainer.java",4,0,4,0,1,,,,,1,1,2,4,,4,3,1,4,,0,0,3,1,,51,8,25,14,9,18,,14,19,13,7,,1,,0,,,"0,72",4,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractOperatorDesc.java",4,0,4,0,1,,,,,1,0,0,12,,12,12,5,12,,0,0,0,12,,92,18,57,32,14,17,,21,34,22,12,,1,,0,,,"0,30",12,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractRecordWriter.java",13,0,12,1,3,,,,,1,1,1,13,,18,17,12,18,,1,5,6,6,,273,31,200,82,101,43,,110,142,77,77,,8,,2,,,"0,21",34,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractSMBJoinProc.java",41,4,27,10,4,,,,,1,0,0,11,,12,12,0,12,,0,2,7,3,,537,61,335,134,201,141,,175,227,109,163,,12,,3,,,"0,42",49,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AccumuloPredicateHandler.java",19,2,13,5,3,,,,,1,1,6,16,,16,15,0,16,,0,2,1,13,,426,50,277,128,161,99,,168,213,118,132,,7,,2,,,"0,36",46,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AccumuloQTestUtil.java",6,1,5,1,1,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,38,4,13,7,3,21,,5,8,5,3,,1,,0,,,"1,62",2,,,,,,,,,,,0,0,"0,00","0,00"
