version,commitId,file,addedLines,removedLines,nbCommits,nbCommitsPreviousSolveBug,nbCommitsPreviousEdited,nbDevelopers,nbDevelopersPrevious,averageTimeBetweenEdits,averageTimeBetweenEditsPrevious,averageExpertiseDeveloper,minimumExpertiseDeveloper,nbCommitsCommentEdited,nbCommitsNoCommentEdited,bugStatus
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,.arcconfig,0,0,0,1,5,0,1,,458332.25,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,.checkstyle,0,0,0,0,4,0,3,,23200192.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,.gitattributes,0,0,0,0,4,0,2,,14309647.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,.gitignore,1,0,1,0,14,1,10,,16238987.23076923,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,.reviewboardrc,1,1,1,0,4,1,4,,33248026.0,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,.travis.yml,47,0,1,0,1,1,1,,,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,LICENSE,59,235,2,0,11,2,9,766877.0,19118191.6,1.0,1,0,2,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,NOTICE,1,8,3,1,14,2,11,8900675.0,15012564.846153846,1.5,1,0,3,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,README.md,110,0,1,0,1,1,1,,,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,RELEASE_NOTES.txt,81,624,5,1,30,2,13,8786589.25,7327013.0,2.5,2,0,5,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/pom.xml,1,1,3,0,15,2,9,14578167.0,6059740.857142857,1.5,1,0,3,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloConnectionParameters.java,0,0,0,0,2,0,1,,25390566.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveConstants.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveRow.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloStorageHandler.java,2,2,1,0,4,1,3,,23561611.666666668,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/HiveAccumuloHelper.java,0,0,0,0,2,0,2,,7873724.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloMap.java,0,0,0,0,2,0,2,,10397295.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloRow.java,0,0,0,0,4,0,4,,12519442.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/Utils.java,0,0,0,0,3,0,2,,18779163.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnEncoding.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,0,0,0,0,3,0,3,,18779163.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapping.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMappingFactory.java,0,0,0,0,2,0,2,,37558326.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloColumnMapping.java,0,0,0,0,2,0,2,,37558326.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloMapColumnMapping.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloRowIdColumnMapping.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveColumn.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/InvalidColumnMappingException.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloRecordReader.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloSplit.java,0,0,0,0,2,0,2,,37558326.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableInputFormat.java,0,0,0,0,3,0,2,,12695283.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableOutputFormat.java,0,0,0,0,4,0,2,,11088096.666666666,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/package-info.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloPredicateHandler.java,0,0,1,0,5,1,5,,14053975.5,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloRangeGenerator.java,0,0,0,0,2,0,2,,948967.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/NoSuchCompareOpException.java,0,0,0,0,1,0,1,,,0,0,0,0,0
